,0,1,2,0,1,2,3,4,5,6,0,0,1,2
66,Both perform,131,-144,194,228,47,15.666666666666666,50,21.5,35,-13,Both perform,-13,1
67,Both perform,58,59,108,238,13,3.25,167,55.11,29,117,Both perform,117,1
68,Both perform,-44,17,151,166,42,14.0,168,104.16,26,-27,Buyer's breach - judicial remedy,-26,0
69,Both perform,58,-39,98,161,44,22.0,59,34.22,17,19,Both perform,19,1
70,Both perform,-13,15,136,150,12,12.0,151,39.26,7,2,Both perform,2,1
71,Both perform,23,-2,165,197,11,2.75,163,128.77,64,21,Both perform,21,1
72,Both perform,-15,57,114,198,42,21.0,171,143.64,40,42,Both perform,42,1
73,Both perform,-85,51,136,133,31,15.5,187,44.88,69,-34,Buyer's breach - deposit remedy,-15.5,0
74,Both perform,-73,31,163,144,23,7.666666666666667,194,75.66,65,-42,Buyer's breach - deposit remedy,-15.333333333333329,0
75,Both perform,-3,-18,191,192,22,5.5,173,29.41,76,-21,Buyer's breach - deposit remedy,-16.499999999999996,0
76,Both perform,-118,2,178,109,47,15.666666666666666,180,97.2,48,-116,Buyer's breach - deposit remedy,-31.33333333333333,0
77,Both perform,64,6,103,189,16,5.333333333333333,109,14.17,38,70,Both perform,70,1
78,Both perform,-38,43,140,160,15,15.0,183,98.82,1,5,Both perform,5,1
79,Both perform,58,6,150,232,18,4.5,156,110.76,95,64,Both perform,64,1
80,Both perform,89,-82,145,173,21,21.0,63,40.95,79,7,Both perform,7,1
81,Both perform,67,-21,184,249,19,9.5,163,9.78,45,46,Both perform,46,1
82,Both perform,38,52,112,214,12,4.0,164,68.88,80,90,Both perform,90,1
83,Both perform,6,15,154,189,14,3.5,169,79.43,69,21,Both perform,21,1
84,Both perform,70,-112,170,175,47,23.5,58,3.48,72,-42,Buyer's breach - deposit remedy,-23.5,0
85,Both perform,-75,19,149,140,47,11.75,168,92.4,24,-56,Buyer's breach - judicial remedy,-24,0
86,Seller's breach - deposit remedy,36.25,-61.75,159,114,34,8.5,65,61.75,6,-25.5,Buyer's breach - judicial remedy,-6,0
87,Both perform,35,62,124,246,25,6.25,186,158.1,53,97,Both perform,97,1
88,Both perform,102,-120,181,207,44,14.666666666666666,61,9.15,71,-18,Both perform,-18,1
89,Both perform,-10,-35,137,138,46,46.0,102,35.7,93,-45,Buyer's breach - deposit remedy,0.0,0
90,Both perform,69,57,92,249,31,10.333333333333334,149,86.42,24,126,Both perform,126,1
91,Seller's breach - deposit remedy,3.3200000000000003,-12.32,141,133,18,9.0,112,12.32,3,-9.0,Buyer's breach - judicial remedy,-3,0
92,Both perform,-22,84,109,204,33,16.5,193,171.77,57,62,Both perform,62,1
93,Both perform,-34,-62,164,101,33,33.0,102,77.52,11,-96,Buyer's breach - deposit remedy,0.0,0
94,Both perform,7,9,172,208,20,5.0,181,135.75,82,16,Both perform,16,1
95,Both perform,13,55,144,229,17,5.666666666666667,199,93.53,50,68,Both perform,68,1
96,Both perform,-51,27,111,105,18,6.0,138,73.14,72,-24,Buyer's breach - deposit remedy,-12.0,0
97,Both perform,-23,34,153,212,48,24.0,187,13.09,9,11,Both perform,11,1
98,Both perform,-28,21,152,168,23,23.0,173,148.78,91,-7,Buyer's breach - deposit remedy,0.0,0
99,Both perform,83,-71,140,170,18,18.0,69,20.7,56,12,Both perform,12,1
100,Seller's breach - deposit remedy,40.666666666666664,-72.0,181,164,47,15.666666666666666,90,72.0,97,-31.333333333333336,Seller's breach - deposit remedy,-31.333333333333336,1
101,Seller's breach - deposit remedy,45.47,-64.97,168,133,39,19.5,73,64.97,31,-19.5,Buyer's breach - deposit remedy,-19.5,0
102,Both perform,-67,71,119,137,14,14.0,190,89.3,81,4,Both perform,4,1
103,Both perform,56,-67,196,202,17,5.666666666666667,129,36.12,92,-11,Both perform,-11,1
104,Both perform,23,-43,188,191,23,11.5,145,10.15,42,-20,Buyer's breach - deposit remedy,-11.499999999999998,0
105,Both perform,-90,-6,165,118,49,24.5,159,112.89,12,-96,Buyer's breach - judicial remedy,-12,0
106,Both perform,84,-75,192,226,25,8.333333333333334,117,47.97,97,9,Both perform,9,1
107,Both perform,111,-14,116,225,12,6.0,102,14.28,30,97,Both perform,97,1
108,Both perform,-71,64,131,154,30,7.5,195,171.6,4,-7,Buyer's breach - judicial remedy,-4,0
109,Both perform,-43,-14,174,145,28,14.0,160,132.8,47,-57,Buyer's breach - deposit remedy,-14.0,0
110,Both perform,8,-109,195,121,27,13.5,86,4.3,48,-101,Buyer's breach - deposit remedy,-13.5,0
111,Both perform,-87,-21,189,130,49,12.25,168,104.16,69,-108,Buyer's breach - deposit remedy,-36.75,0
112,Both perform,25,105,94,244,20,5.0,199,89.55,80,130,Both perform,130,1
113,Both perform,117,-69,120,188,20,10.0,51,9.18,88,48,Both perform,48,1
114,Both perform,-74,21,126,108,35,35.0,147,141.12,23,-53,Buyer's breach - deposit remedy,0.0,0
115,Both perform,-26,31,145,189,39,13.0,176,54.56,16,5,Both perform,5,1
116,Both perform,87,-8,103,209,27,27.0,95,11.4,21,79,Both perform,79,1
117,Both perform,60,-48,123,172,37,12.333333333333334,75,40.5,80,12,Both perform,12,1
118,Both perform,27,-19,97,126,21,7.0,78,70.2,81,8,Both perform,8,1
119,Both perform,42,2,142,211,25,8.333333333333334,144,82.08,8,44,Both perform,44,1
120,Both perform,15,-36,189,191,23,5.75,153,44.37,100,-21,Buyer's breach - deposit remedy,-17.25,0
121,Both perform,-118,43,152,123,46,11.5,195,37.05,74,-75,Buyer's breach - deposit remedy,-34.5,0
122,Both perform,64,-101,175,179,41,10.25,74,43.66,73,-37,Buyer's breach - deposit remedy,-30.75,0
123,Seller's breach - deposit remedy,0.8299999999999983,-30.08,180,115,39,9.75,94,30.08,49,-29.25,Buyer's breach - deposit remedy,-29.25,0
124,Both perform,-12,-17,134,134,29,29.0,117,49.14,57,-29,Buyer's breach - deposit remedy,0.0,0
125,Both perform,137,-123,198,230,18,4.5,75,15.0,45,14,Both perform,14,1
126,Both perform,-4,-51,177,160,38,19.0,126,88.2,98,-55,Buyer's breach - deposit remedy,-19.0,0
127,Both perform,-12,32,97,159,42,21.0,129,33.54,98,20,Both perform,20,1
128,Both perform,14,-59,151,118,12,6.0,92,61.64,27,-45,Buyer's breach - deposit remedy,-6.0,0
129,Both perform,-78,68,126,128,12,3.0,194,21.34,12,-10,Buyer's breach - deposit remedy,-9.0,0
130,Both perform,-68,55,136,149,26,8.666666666666666,191,63.03,13,-13,Buyer's breach - judicial remedy,-13,0
131,Both perform,-35,-74,194,135,50,16.666666666666668,120,12.0,93,-109,Buyer's breach - deposit remedy,-33.33333333333333,0
132,Both perform,84,-37,110,203,46,11.5,73,29.2,76,47,Both perform,47,1
133,Both perform,124,-110,190,217,13,3.25,80,76.0,22,14,Both perform,14,1
134,Both perform,54,-44,173,201,18,18.0,129,67.08,22,10,Both perform,10,1
135,Both perform,65,19,141,239,14,3.5,160,137.6,77,84,Both perform,84,1
136,Both perform,6,-13,162,168,13,4.333333333333333,149,50.66,0,-7,Buyer's breach - judicial remedy,0,0
137,Buyer's breach - enforced performance,-119,2,136,113,15,15.0,138,24.84,79,-117,Buyer's breach - deposit remedy,0.0,0
138,Both perform,-2,-15,150,154,21,7.0,135,37.8,38,-17,Buyer's breach - deposit remedy,-14.0,0
139,Both perform,98,-125,180,177,24,12.0,55,42.35,90,-27,Buyer's breach - deposit remedy,-12.0,0
140,Both perform,75,-56,185,236,32,32.0,129,36.12,4,19,Both perform,19,1
141,Seller's breach - deposit remedy,11.760000000000002,-29.76,146,127,36,18.0,96,29.76,78,-18.0,Seller's breach - deposit remedy,-18.0,1
142,Both perform,121,-33,129,228,11,5.5,96,25.92,18,88,Both perform,88,1
143,Both perform,12,11,145,188,20,6.666666666666667,156,118.56,75,23,Both perform,23,1
144,Seller's breach - deposit remedy,26.630000000000003,-50.63,195,102,36,12.0,61,50.63,41,-24.0,Buyer's breach - deposit remedy,-23.999999999999993,0
145,Both perform,-61,35,125,147,48,16.0,160,57.6,45,-26,Both perform,-26,1
146,Both perform,-84,14,169,132,33,16.5,183,168.36,85,-70,Buyer's breach - deposit remedy,-16.5,0
147,Both perform,-52,96,98,166,24,6.0,194,172.66,21,44,Both perform,44,1
148,Both perform,-10,15,100,152,47,47.0,115,29.9,38,5,Both perform,5,1
149,Buyer's breach - enforced performance,-167,45,130,100,15,15.0,175,78.75,77,-122,Buyer's breach - deposit remedy,0.0,0
150,Both perform,25,-42,180,200,37,37.0,138,120.06,100,-17,Buyer's breach - deposit remedy,0.0,0
151,Both perform,113,-39,127,217,16,4.0,88,44.88,82,74,Both perform,74,1
152,Both perform,-132,100,96,101,37,12.333333333333334,196,188.16,10,-32,Buyer's breach - judicial remedy,-10,0
153,Both perform,-7,-23,130,144,44,11.0,107,68.48,90,-30,Both perform,-30,1
154,Both perform,-20,11,155,175,29,7.25,166,29.88,54,-9,Both perform,-9,1
155,Both perform,41,-70,144,162,47,47.0,74,20.72,82,-29,Buyer's breach - deposit remedy,0.0,0
156,Both perform,23,-58,175,160,20,5.0,117,8.19,46,-35,Buyer's breach - deposit remedy,-14.999999999999998,0
157,Both perform,-29,13,148,144,12,3.0,161,75.67,45,-16,Buyer's breach - deposit remedy,-9.0,0
158,Both perform,120,-74,192,248,10,5.0,118,67.26,29,46,Both perform,46,1
159,Both perform,136,-140,199,206,11,3.6666666666666665,59,11.8,27,-4,Both perform,-4,1
160,Buyer's breach - enforced performance,-84,21,97,103,27,27.0,118,27.14,42,-63,Buyer's breach - deposit remedy,0.0,0
161,Both perform,5,55,114,196,22,5.5,169,82.81,99,60,Both perform,60,1
162,Both perform,-71,49,135,151,38,19.0,184,38.64,90,-22,Buyer's breach - deposit remedy,-19.0,0
163,Both perform,-70,61,117,126,18,9.0,178,3.56,57,-9,Buyer's breach - deposit remedy,-9.0,0
164,Both perform,111,-34,111,234,46,46.0,77,21.56,16,77,Both perform,77,1
165,Both perform,-68,-28,167,110,39,9.75,139,120.93,19,-96,Buyer's breach - judicial remedy,-19,0
166,Both perform,-17,-6,175,179,27,27.0,169,38.87,5,-23,Buyer's breach - deposit remedy,0.0,0
167,Both perform,-3,-3,135,169,40,13.333333333333334,132,117.48,73,-6,Both perform,-6,1
168,Both perform,85,-78,134,166,25,6.25,56,16.24,46,7,Both perform,7,1
169,Both perform,-3,-53,160,124,20,5.0,107,96.3,82,-56,Buyer's breach - deposit remedy,-15.0,0
170,Seller's breach - deposit remedy,6.770000000000003,-42.77,189,128,48,12.0,91,42.77,19,-36.0,Buyer's breach - judicial remedy,-19,0
171,Both perform,78,-100,157,164,29,14.5,57,26.79,81,-22,Buyer's breach - deposit remedy,-14.5,0
172,Both perform,-98,0,194,139,43,43.0,194,118.34,19,-98,Buyer's breach - deposit remedy,0.0,0
173,Both perform,16,-71,165,155,45,22.5,94,14.1,62,-55,Buyer's breach - deposit remedy,-22.5,0
174,Buyer's breach - enforced performance,-180,39,130,100,24,8.0,169,72.67,87,-141,Buyer's breach - deposit remedy,-16.0,0
175,Both perform,18,72,96,221,35,8.75,168,104.16,11,90,Both perform,90,1
176,Both perform,6,-15,185,189,13,6.5,170,79.9,4,-9,Buyer's breach - judicial remedy,-4,0
177,Both perform,79,-55,161,210,25,6.25,106,100.7,91,24,Both perform,24,1
178,Seller's breach - deposit remedy,18.816666666666663,-50.15,113,102,47,15.666666666666666,59,50.15,90,-31.333333333333336,Buyer's breach - deposit remedy,-31.333333333333336,0
179,Both perform,12,-1,127,149,11,11.0,126,36.54,97,11,Both perform,11,1
180,Both perform,46,-59,174,174,13,13.0,115,87.4,63,-13,Buyer's breach - deposit remedy,0.0,0
181,Both perform,33,-2,180,242,31,31.0,178,78.32,99,31,Both perform,31,1
182,Both perform,53,-104,156,133,28,7.0,52,49.92,9,-51,Buyer's breach - judicial remedy,-9,0
183,Both perform,22,-46,131,142,35,17.5,85,27.2,64,-24,Seller's breach - deposit remedy,-17.5,0
184,Both perform,-57,-40,186,138,49,16.333333333333332,146,71.54,52,-97,Buyer's breach - deposit remedy,-32.66666666666667,0
185,Both perform,53,-59,134,175,47,11.75,75,14.25,76,-6,Both perform,-6,1
186,Both perform,29,-29,102,141,39,9.75,73,28.47,19,0,Both perform,0,1
187,Both perform,-19,45,135,183,22,5.5,180,5.4,98,26,Both perform,26,1
